Text,Tag,Confidence
I,,
no,,
Nothing.,,
So far so good.,,
1,,
It's expensive.,,
Really??,,
etc.,,
What's not to like?,,
Highly recommend!,,
"Otherwise, no complaints!",,
It is expensive.,,
like,,
Not much.,,
Nothing at this time.,,
Not much really.,,
--,,
2,,
All good!,,
The price.,price,
Too pricey.,,
Nothing at the moment.,,
Nothing so far.,,
Other than that,,
"So far, so good!",,
1,,
Do it!,,
P,,
Very little!,,
Not much!,,
I get lost sometimes.,UX:bugs,
Very expensive.,,
Everything else.,,
Interface,,
Nothing yet.,,
Nothing as of yet.,,
I don't have any complaints.,,
I am very satisfied.,,
Just be aware.,,
I love how easy it is to use.,,
The customer service is not great.,,
So awesome!,,
de,,
totally worth it,,
A little on the pricey side,,
Fantastic customer service.,,
Not sure yet.,,
TL;DR,,
Overall pretty good.,,
What's not to love!,,
2),,
No product is perfect.,,
Less mess.,,
but you get what you pay for,,
You get the point.,,
It's not cheap.,,
So annoying!,,
There's not much to dislike.,,
Nothing I can think of.,,
Nothing in particular.,,
Not much at all.,,
Please fix that!,,
Hmm..,,
That would be really helpful.,,
I CAN’T LOG IN.,,
I’m,,
*wish,,
Nothing comes to mind at the moment.,,
Nothing that I can think of at the moment,,
Literally nothing.,,
Price is high.,,
It's very fun and easy to use!,,
It serves its purpose well,,
b/c,,
Pricing is very high.,price,
It's an excellent tool.,,
There have been a few times,,
Price tag.,,
Changing,,
There is nothing that I don't like.,,
I guess the one thing I'm not a fan of is that multiple agencies cannot get credit for the work they do for the same client.,,
I can't say there's anything I dislike.,,
Nothing at this point.,,
Unavailability of linking HubSpot calendar within a form.,,
I don't really dislike anything.,,
I don't dislike anything.,,
The platform has been glitchy recently and the quality of help desk support is not what it used to be.,updates:support,
Sometimes the picture sizing can be annoying - usually have to have my graphic designer make tweaks.,,
"The only negative I have about Hubspot is that the templates, as much as it is fantastic users can do a lot of high-level tasks with these templates, I do wish they were a little more adaptable/flexible. ",wishes:Actionable,0.662:0.501
"There isn't too much to not like, we have everything that we require to do our job in 1 place",UX,0.751
There isn't anything which I dislike as the product has helped us.,price,0.512
"Not as easy to make ""techy"" customization and integration, but most folks don't need to dig this deep anyhow! ",integrations:UX,0.795:0.535
"I am very satisfied with the quality, performance and easy implementation of this platform, so far I have not had any problems.",No tags, 
"In this thread in their community forum https://community.hubspot.com/t5/HubSpot-Ideas/No-Location-on-activity-feed/idc-p/292014 there are 13 pages of customers asking them to return the feature they've removed, but they don't seem to care.",Actionable,0.621
"I like that I can link forms, GoToWebinar, and Salesforce campaigns. ",integrations,0.729
I really haven't found anything that I don't dislike.,UX,0.848
No option to track all submissions of a particular domain in a single list,Actionable:UX:wishes:features,0.892:0.759:0.533:0.505
"To create the first template is hard and the CSS sometimes can be hard to use, as there are many levels and places to set it",UX:Actionable,0.873:0.542
i wish forms were a little easier to build,UX:wishes,0.887:0.596
I would like to see a little more customization with some of the email reports but other than that nothing.,Actionable:features:wishes,0.889:0.889:0.756
I dislike that it doesn't allow you to fully edit some of the templates they provide and some of the things require a weird work around to get to properly work.,UX:Actionable,0.809:0.58
"There are many common CRM features that aren't included, the social media feature is terrible, certain reporting features are not available",features:Actionable,0.798:0.577
I dislike that I cannot upload videos or multiple images to Instagram through HubSpot.,Actionable:features:wishes:bugs,0.917:0.801:0.723:0.516
"Sometimes it's a bit finicky to edit blog posts and it takes multiple clicks/attempts to change the position of a paragraph or the size of a headline, for example. ",Actionable:UX,0.871:0.85
That customer service is only available via chat or email for my subscription.,features:wishes:Actionable,0.762:0.572:0.526
"There are certain, fairly obvious features that I wish they had, like A/B testing of automated emails.",features:wishes:Actionable:UX,0.896:0.891:0.835:0.589
"Some of the features are complicated and need a lot of time, practice and attention.",UX,0.677
"Some parts of the system can be improved — for instance, if you ""delete"" a social media post that you posted from within HubSpot, it will not delete on the person's/company's actual social media page. ",Actionable:features:wishes,0.949:0.939:0.842
We are having some issues with hard bounces when it comes to email blasts and we can't seem to get on the same page to find a solution.,Actionable:bugs,0.683:0.661
"I didn't like how the page builder is designed, it has a lot of limitations",UX,0.941
Sometimes I have an issue with the search engine freezing up when I am looking for specific contacts to include or exclude from an email list.,Actionable:bugs:features,0.942:0.826:0.62
I would like to be able to delete a draft on the preview option or on the calendar instead of having to look for it on the schedules posts,Actionable:wishes:features,0.929:0.9:0.745
the time delays can be a little bit confusing at times,UX,0.896
I wish that they would implement a dark mode for their platform and native apps for the Apple ecosystem of devices.,wishes:features:integrations,0.886:0.774:0.501
"Occasionally the Beta fixes are not as user friendly, but you get used to them and on the whole everything is still logically placed.",bugs:UX:updates,0.683:0.664:0.578
"It is a tool that allows you to make Marketing through my networks and web pages in an easy and quality way, nothing I dislike is great",No tags, 
"We've been through a few rounds of users, and mistakes from the past are apparent, such as mislabeled contacts, improperly created forms and pages, etc.",Actionable:bugs:UX,0.812:0.801:0.609
"We use translated pages, which is a great feature, however this consequently means we cannot make use of the staging feature. ",No tags, 
"Some features take more time to learn, however, once you have mastered it and set it up correctly it works like a charm.",UX,0.847
There should be a report that allows you to see your followers broken down by month including your original number of followers versus just showing s list of who follows you and when.,Actionable:wishes:features,0.885:0.646:0.603
"I don't have the greatest knowledge of the product, but something I found frustrating was the inability to customly add a list of emails to target in an already created flow, it appears as though I have to rely on an integration to get an email into a flow. ",Actionable,0.659
I do not use much HubSpot reporting (relying on Salesforce instead) because it doesn't seem as well-baked and there are certain reports that are unable to filter out internal tests which skew the numbers.,integrations:Actionable,0.664:0.569
Lifecycle stages mismatch Salesforce making it difficult to identify customers vs leads vs subscribers,integrations:Actionable,0.806:0.537
Sometimes it is difficult to pinpoint the CSS that is causing behavior issues within a template.,UX:bugs:Actionable,0.894:0.832:0.643
"When using for outbound calls, the contact time does not update until the initiated call is FINISHED, such that 10 or even 100 sales persons could attempt to call the same contact before they were ever aware someone was currently talking to them",Actionable:bugs:support,0.744:0.575:0.512
"HubSpot is a very complete tool and offers many benefits for me, it is an important complement to my work, I have nothing bad to say about HubSpot.",integrations,0.702
We became power-users and there were a few things we wished we could slice and dice better in terms of analytics.,wishes,0.577
I would like to be able to attribute social media posts to moving people down the marketing funnel and increasing their HubSpot score.,Actionable:features:wishes,0.868:0.868:0.861
"It can get very deep technically and set up is the hardest, most time consuming part. ",UX,0.793
Those fields are used in lists that determine who we send product update emails to when we want to update our customers specifically about something every lapping stuff.,updates:Actionable,0.765:0.697
I would love to see HobSpot incorporate the use of automatic posting to Instagram Stories.,Actionable:wishes:features,0.963:0.954:0.947
"Since we have a website custom designed on HubSpot, unfortunately some updates by HubSpot end up breaking pieces/functionality of our site, and we aren't notified in advance to be on the lookout for it. ",integrations:Actionable,0.655:0.528
Inbuilt latest version of Bootstrap version is not available,bugs:integrations,0.641:0.514
I have not found anything yet to dislike except for a few topics in the set up process are harder than I expected but the support team guides me through it every time I call for help.,support:UX,0.875:0.874
"The only thing I dislike is having to go back in to each individual social media post in order to edit them, it would be really nice if you could pull up the whole day at once and be able to edit information or categories. ",wishes:Actionable:features:UX,0.917:0.905:0.863:0.797
Some functionalities seem to be more complicated then they should be.,UX,0.66
Some functions that I think would be basic native characteristics of the system are missing and can be time-consuming to work around.,UX,0.931
"Cant pull up contacts sometimes, bad search engine",Actionable:bugs:UX,0.876:0.841:0.577
"Some of the templates and web design tools are still a little cumbersome to maneuver in, it's still a little foreign if you want to customize them.",UX,0.819
"I dislike that sometimes pages on HubSpot have issues or won't load for some reason, but it's usually fixed within the hour if this does happen. ",bugs:UX:support,0.873:0.794:0.783
There isn't a very robust platform of 3rd party apps or add-ons.,integrations,0.637
"A few things that need working on are A/B testing functionality for translated pages, and we are currently unable to archive inactive workflows instead of deleting them.",Actionable:UX:bugs,0.807:0.664:0.542
Doesn't work great for a C to C and short sales cycle customers,price,0.541
I would like to be able to customise the contact records a bit more and layout the screen a bit differently so I can highlight really important fields to sales people (by putting them at the top of their screen for example) - but that is because I'm used to using other CRM products that do that :),Actionable:features,0.716:0.579
I don't like the blog and website builder tools; the don't have a graphical interface making it very hard to make even the tiniest changes without coding knowledge.,UX:integrations,0.82:0.573
The scheduling platform would be awesome if they had an added approval workflow option such as comments on posts.,wishes:features:Actionable,0.887:0.854:0.852
There are so many features that sometimes HubSpot's platform can feel overwhelming.,No tags, 
There aren’t much that I dislike about HubSpot but the top navigation can be confusing from time to time.,UX,0.853
There isn't anything our team dislikes - there are some tools we don't utilize with our current strategy - but for the tools we use - everything is excellent - and we value the continuous enhancements.,integrations,0.577
Tagging accounts on LinkedIn is very limited (click on it for it to pop up) and can't tag people's accounts.,Actionable:features:bugs:UX,0.938:0.752:0.619:0.525
"I think the SEO strategy section could be further developed, right now it's not the most helpful.",Actionable:UX:integrations,0.862:0.787:0.66
The sales dashboard is useful but I do not like the colours that are used for standard reports.,Actionable,0.528
"Despite being such a broad and capable system, there are some issues and limitations in the workflows tool that should be possible relating to date based automation.",UX,0.82
How long the contact lists takes to load when you are reviewing a workflow before turning it on.,Actionable,0.596
